Tag Strain Sex grp Agewks ME
218 3 1 1 78.43 168.82
218 3 1 1 79.43 168.36
218 3 1 1 80.43 119.33
218 3 1 1 81.71 139.80
218 3 1 1 82.43 146.69
218 3 1 1 83.43 166.53
218 3 1 1 84.43 102.84
221 3 1 1 30.00 125.79
221 3 1 1 31.00 117.95
221 3 1 1 32.00  97.55
221 3 1 1 33.00 101.71
221 3 1 1 34.00 100.98
221 3 1 1 35.00  90.16
221 3 1 1 36.00  97.00
221 3 1 1 37.00  91.48
221 3 1 1 38.00  79.10
221 3 1 1 39.00  90.41
221 3 1 1 40.00  99.64
221 3 1 1 41.00 106.88
221 3 1 1 42.00 113.89
221 3 1 1 43.00  94.78
221 3 1 1 44.00 127.91
221 3 1 1 45.00 134.65
221 3 1 1 46.00 134.07
221 3 1 1 47.00 119.37
221 3 1 1 48.00 153.46
221 3 1 1 49.14 154.08
221 3 1 1 50.00 161.99
221 3 1 1 51.00 162.10
221 3 1 1 52.00 161.34
221 3 1 1 53.00 186.94
221 3 1 1 54.00 190.20
221 3 1 1 55.00 193.30
221 3 1 1 56.00 205.79
221 3 1 1 57.00 198.67
221 3 1 1 58.00 196.86
221 3 1 1 59.00 176.97
221 3 1 1 60.00 214.56
221 3 1 1 61.00 231.95
221 3 1 1 62.00 214.54
221 3 1 1 63.00 226.17
221 3 1 1 64.00 204.32
221 3 1 1 65.00 209.81
221 3 1 1 66.00 226.70
221 3 1 1 67.00 170.61
221 3 1 1 68.00 201.23
221 3 1 1 69.00 199.91
221 3 1 1 70.00 163.68
221 3 1 1 71.29 213.41
221 3 1 1 72.00 147.51
221 3 1 1 73.14 167.98
221 3 1 1 74.00 171.03
221 3 1 1 75.14 164.80
221 3 1 1 76.00  80.76
221 3 1 1 77.00 108.00
221 3 1 1 78.00 128.34
221 3 1 1 79.00 132.09
221 3 1 1 80.00 116.41
221 3 1 1 81.29 116.28
221 3 1 1 82.00 122.12
221 3 1 1 83.00 119.14
221 3 1 1 84.00 114.78
240 4 1 2 29.14 127.55
240 4 1 2 30.14 126.49
240 4 1 2 31.14 131.60
240 4 1 2 32.14 120.08
240 4 1 2 33.14  94.78
240 4 1 2 34.14  86.07
240 4 1 2 35.14 115.14
240 4 1 2 36.14  98.73
240 4 1 2 37.14  95.24
240 4 1 2 38.14 101.76
240 4 1 2 39.14 111.34
240 4 1 2 40.14 113.90
240 4 1 2 41.14 118.22
240 4 1 2 42.14  92.32
240 4 1 2 43.14 150.38
240 4 1 2 44.14 156.53
240 4 1 2 45.14 167.77
240 4 1 2 46.14 152.13
240 4 1 2 47.14 204.70
240 4 1 2 48.29 207.55
240 4 1 2 49.14 215.70
240 4 1 2 50.14 227.50
240 4 1 2 51.14 211.65
240 4 1 2 52.14 194.20
240 4 1 2 53.14 249.75
240 4 1 2 54.14 300.00
240 4 1 2 55.14 292.72
240 4 1 2 56.14 279.51
240 4 1 2 57.14 236.99
240 4 1 2 58.14 272.68
240 4 1 2 59.14 251.42
240 4 1 2 60.14 248.92
240 4 1 2 61.14 249.18
240 4 1 2 62.14 253.54
240 4 1 2 63.14 213.33
240 4 1 2 64.14 235.09
240 4 1 2 65.14 229.40
240 4 1 2 66.14 197.28
240 4 1 2 67.14 191.17
240 4 1 2 68.14 184.47
240 4 1 2 69.14 117.12
240 4 1 2 70.43  84.71
240 4 1 2 71.14  54.26
240 4 1 2 72.29  59.17
240 4 1 2 73.14  71.70
240 4 1 2 74.29  89.22
240 4 1 2 75.14 100.42
240 4 1 2 76.14  97.01
240 4 1 2 77.14 105.87
240 4 1 2 78.14 119.33
240 4 1 2 79.14  87.86
240 4 1 2 80.43 111.48
240 4 1 2 81.14 114.52
240 4 1 2 82.14 128.03
240 4 1 2 83.14 104.37
244 4 1 2 29.14 135.03
244 4 1 2 30.14 133.86
244 4 1 2 31.14 110.42
244 4 1 2 32.14 114.23
244 4 1 2 33.14 112.80
244 4 1 2 34.14 110.99
244 4 1 2 35.14 120.40
244 4 1 2 36.14 105.87
244 4 1 2 37.14 104.37
244 4 1 2 38.14 109.60
244 4 1 2 39.14 103.38
