Location,ApertureWidth,ApertureLength,Circularity,N.Telochonc.Whorls,Whorl.First.Primary,N.Primary.Whorls,Whorl.Axial.Striae,Whorl.Tertiary.Groove,Whorl.Spiral.Striae
Florida,11.5,16.6,0.69,9,3,4,2,8,5
Florida,6.3,9,0.7,8,3,6,2,6,6
Florida,6.7,9.5,0.71,8,2,2,1,7,7
Florida,12,16.9,0.71,8,2,3,3,8,0
Florida,6.6,9.8,0.67,8,1,2,1,6,7
Florida,11.7,16.5,0.71,8,3,3,3,7,6
Florida,12.2,16.2,0.75,7,2,7,2,0,6
Congo,13.5,16.5,0.82,6,2,6,2,0,0
Congo,12.5,16.3,0.77,6,2,9,2,6,6
Congo,11.8,14.6,0.81,6,2,7,3,6,0
Congo,12,15.3,0.78,7,3,6,2,7,7
Congo,14.6,18.2,0.8,8,4,8,3,0,8
Congo,11.5,14.5,0.79,7,3,6,3,7,6
Congo,12,14.3,0.84,6,1,8,1,6,6
Congo,9.4,12.6,0.75,7,1,5,1,7,0
Congo,12.8,16.4,0.78,7,1,5,2,0,0
Congo,11.4,14.3,0.8,6,2,9,2,6,0
Congo,13,15.3,0.85,6,2,8,2,5,6
Congo,6.5,7.7,0.84,5,2,8,4,0,0
Gabon,10.9,13.9,0.78,6,2,9,3,5,0
Gabon,13.9,17.8,0.78,6,2,6,3,6,0
Gabon,9.5,12,0.79,6,1,5,1,5,0
Gabon,11.2,13.5,0.83,6,2,8,3,6,0
Belize,6.7,8.9,0.75,6,1,7,1,0,6
Belize,8.7,11.3,0.77,7,2,3,2,7,0
Belize,7.7,10.3,0.75,7,2,3,2,7,5
Belize,8,11,0.73,7,2,7,2,6,0
Belize,9.5,12,0.79,7,2,2,2,6,0
Belize,8.1,11.1,0.73,7,2,6,2,7,0
Belize,7.7,10.5,0.73,7,2,3,1,7,6
Belize,8,10,0.8,7,3,7,2,0,7
Belize,7.7,10.4,0.74,8,3,3,3,8,0
Belize,7.6,10.2,0.75,7,2,4,2,7,5
Belize,8.1,10.4,0.78,7,2,2,2,6,0
Belize,6.8,9.5,0.72,6,1,2,1,5,5
Belize,7.3,9.6,0.76,7,1,2,1,7,0
Belize,8.6,11,0.78,7,2,2,2,7,0
Belize,7.7,10,0.77,7,2,2,2,7,7
Belize,7.6,9.7,0.78,7,2,3,1,7,0
Belize,8.5,11.2,0.76,7,2,6,2,6,0
Belize,9.4,11.7,0.8,7,1,3,1,6,7
Belize,7.8,10.4,0.75,8,3,7,3,8,7
Belize,8,10.5,0.76,7,2,2,1,7,0
Belize,7.6,10.4,0.73,7,1,3,1,6,0
Belize,7.3,9.7,0.75,7,2,2,1,6,0
Belize,7,9.4,0.74,8,2,2,2,0,6
Belize,6.3,9.3,0.68,7,2,2,1,6,4
Belize,8.1,10.4,0.78,7,3,5,3,7,0
Belize,7,9.9,0.71,6,1,3,1,6,0
Belize,8,10.3,0.78,6,2,5,2,6,0
Belize,8.4,11,0.76,7,1,5,1,6,0
Belize,7.5,9.5,0.79,7,3,7,1,7,0
Belize,8.8,11,0.8,7,3,5,2,6,0
Belize,8.3,10.7,0.78,6,1,3,1,5,4
Belize,8.3,10.6,0.78,7,2,4,1,6,0
Belize,8.4,10.8,0.78,7,2,3,2,6,0
Belize,8.4,11.1,0.76,7,2,3,1,0,0
Belize,8.1,9.9,0.82,7,2,3,2,7,6
Belize,7.6,9.9,0.77,7,3,3,3,7,0
Belize,8,10.2,0.78,8,3,3,3,8,0
Belize,8.1,10.9,0.74,7,2,2,2,7,5
Belize,8.6,11.4,0.75,7,2,2,2,7,5
Belize,7.9,10.4,0.76,7,2,4,1,7,7
Belize,8.6,11.6,0.74,7,1,2,1,6,4
Belize,8.1,10.5,0.77,7,2,2,2,6,0
Belize,7.9,10.5,0.75,7,3,8,3,7,6
Belize,8.6,10.9,0.79,7,3,5,2,0,0
Belize,9.4,11.9,0.79,7,2,4,2,7,7
Belize,4.7,6,0.78,6,2,2,2,6,6
Belize,8,10.8,0.74,7,2,3,2,7,7
Belize,7.5,10.2,0.74,7,1,2,1,6,4
Belize,7.4,9.8,0.76,7,2,2,2,0,5
Belize,6.7,8.3,0.81,7,1,2,1,5,4
Belize,7,8.5,0.82,7,2,4,1,5,4
Belize,7.8,10,0.78,7,1,2,1,0,5
Belize,7.1,9.3,0.76,6,1,2,1,6,4
Belize,8.2,10.3,0.8,7,3,7,2,6,5
Belize,7.6,10.4,0.73,7,1,3,1,6,4
Belize,8.5,11.3,0.75,8,2,2,2,0,8
Belize,7.7,10.1,0.76,7,3,4,3,0,0
Belize,7.8,9.9,0.79,7,3,2,2,7,0
Belize,5.4,7.9,0.68,7,2,2,2,6,5
Belize,7.9,10.3,0.77,7,2,3,1,7,5
Belize,7.3,9.6,0.76,8,2,2,2,7,6
Belize,8.1,10.8,0.75,7,2,7,2,6,5
Belize,8.1,10.3,0.79,5,1,7,1,5,5
Belize,8.7,11.4,0.76,6,1,2,1,6,3
Belize,6.4,8.7,0.74,7,1,2,1,7,7
Belize,7.6,10.2,0.75,7,3,8,2,7,6
Belize,3.8,5.2,0.73,6,2,4,2,5,6
Belize,7.8,10.2,0.76,8,3,3,2,7,6
Belize,4,5.4,0.74,6,2,3,2,6,5
Belize,8.3,10.8,0.77,7,2,6,2,7,6
Belize,5.2,6.7,0.78,7,1,2,1,6,7
Belize,7.7,9.9,0.78,7,1,2,2,7,7
Belize,5.1,7.2,0.71,7,2,2,2,0,0
Belize,4.3,5.9,0.73,6,1,3,2,6,5
Belize,6.4,8.5,0.75,7,2,3,2,7,6
Belize,6.9,9.3,0.74,7,1,2,2,7,6
Belize,5.1,7.1,0.72,7,2,4,1,6,5
Belize,7.3,10.2,0.72,7,1,3,1,7,5
Belize,8.8,11.6,0.76,7,2,6,1,7,4
Belize,9.6,12.6,0.76,7,2,2,1,6,5
Belize,8.4,11.2,0.75,6,1,5,1,6,2
Belize,8.6,11.1,0.77,7,2,4,1,7,7
Belize,8.7,11.4,0.76,8,3,2,3,7,6
Belize,7.4,9.7,0.76,6,1,2,1,6,3
Belize,6.6,8.7,0.76,7,2,2,2,7,5
Belize,9.3,12.4,0.75,7,2,3,3,6,5
Belize,8.8,11.1,0.79,7,3,7,1,7,5
Belize,7.1,9.5,0.75,6,1,4,1,6,4
Belize,5.1,6.7,0.76,7,2,2,2,7,3
Belize,5.2,7.2,0.72,6,2,5,1,7,4
Belize,9.3,12.9,0.72,8,2,2,1,6,0
Belize,8.2,10.8,0.76,8,2,2,2,8,5
Belize,9.7,12,0.81,6,1,6,1,6,6
Belize,7.4,10.1,0.73,7,1,2,1,7,3
Belize,7,9.6,0.73,7,2,4,2,6,5
Belize,8.5,11,0.77,7,2,4,2,7,5
Belize,6.4,8.5,0.75,7,2,3,1,7,6
Belize,7.4,10,0.74,7,1,2,1,7,5
Belize,6.8,8.8,0.77,7,1,2,1,7,6
Belize,7.4,9.4,0.79,7,2,2,2,7,5
Belize,8,10.9,0.73,8,1,3,2,8,5
Belize,7.8,10.1,0.77,7,1,2,1,7,4
Belize,7.9,10.5,0.75,7,2,4,2,7,4
Belize,9.3,12.2,0.76,8,2,2,1,7,6
Belize,8.4,11.1,0.76,7,2,2,2,7,4
Belize,5.9,7.8,0.76,6,1,4,1,6,4
Belize,7.7,10.8,0.71,7,1,3,1,7,4
Belize,8.7,11.6,0.75,8,3,4,3,7,5
Belize,8.9,11.8,0.75,7,2,4,2,0,4
Belize,9.1,11.3,0.81,7,2,3,2,6,6
Belize,8.4,11.5,0.73,7,1,2,1,7,5
Belize,8.3,11,0.75,7,2,2,2,7,7
Belize,9.9,12.1,0.82,7,2,3,1,7,6
Belize,8.7,11.7,0.74,7,2,2,1,7,6
Belize,9.1,12,0.76,7,2,2,3,7,5
Belize,8.3,10.8,0.77,7,2,2,1,7,5
Belize,7.4,9.9,0.75,7,3,3,1,7,5
Belize,7.8,10.3,0.76,7,2,4,2,7,0
Belize,8.4,10.7,0.79,7,1,2,1,6,5
Belize,8.5,11.3,0.75,7,2,4,1,7,5
Belize,8.8,11,0.8,7,3,6,1,0,7
Belize,8.9,11.6,0.77,7,2,3,1,7,6
Belize,7.5,10.1,0.74,7,2,2,1,7,6
Belize,8.2,11.4,0.72,7,2,2,2,6,5
Belize,8.3,11.4,0.73,7,2,4,1,6,6
Belize,8.8,11.5,0.77,7,2,5,2,6,5
Belize,9,11.6,0.78,7,2,2,1,7,6
Belize,9.3,11.6,0.8,7,2,2,1,7,6
Belize,9.7,12.8,0.76,8,2,2,2,7,6
Belize,9.5,13.1,0.73,7,1,2,1,6,5
Belize,9.3,12.5,0.74,7,2,4,1,7,5
Florida,10.2,13.6,0.75,8,3,2,2,7,6
Florida,7.3,10.3,0.71,8,3,3,1,8,7
Florida,9.5,13,0.73,8,3,2,3,8,0
Florida,8,10.8,0.74,8,1,3,1,7,6
Florida,6.9,9.5,0.73,7,3,4,1,6,6
Florida,6.9,9.4,0.73,8,3,3,2,7,7
Florida,10,14.2,0.7,8,3,4,1,7,6
Florida,7.3,9.9,0.74,8,4,4,1,7,5
Florida,10.7,15.1,0.71,7,2,5,1,7,6
Florida,7.6,10.1,0.75,8,2,2,1,7,6
Florida,7.3,9.7,0.75,7,2,4,1,7,6
Florida,9.5,12.7,0.75,8,2,2,1,8,0
Florida,6.4,8.6,0.74,8,1,4,1,7,7
Florida,7.7,10.7,0.72,8,4,4,1,7,6
Florida,5.8,7.9,0.73,7,2,3,1,6,5
Florida,6.3,8.5,0.74,7,1,2,1,6,7
Florida,7.2,9.7,0.74,8,1,2,1,6,4
Florida,6.1,7.8,0.78,8,1,2,1,7,7
Florida,5.9,8,0.74,7,3,3,1,7,5
Florida,6.9,8.7,0.79,8,1,4,1,7,6
Florida,8.2,10.2,0.8,8,3,4,2,6,8
Florida,6.8,9.3,0.73,7,3,6,1,7,6
Florida,9.8,13,0.75,8,3,5,1,7,0
Florida,6.9,9.4,0.73,8,1,3,1,7,8
Florida,6.9,9.3,0.74,8,2,3,1,8,6
Florida,6.8,9.5,0.72,8,1,3,1,7,8
Florida,6.3,9.4,0.67,8,4,5,1,7,5
Florida,8.9,11.8,0.75,8,4,4,2,8,0
Florida,8.2,11.5,0.71,8,3,5,2,7,5
Florida,6.6,9.5,0.69,8,2,2,1,7,7
Florida,7.1,9.8,0.72,7,1,3,1,7,4
Florida,9.8,15,0.65,8,3,4,3,6,6
Florida,5.8,8.1,0.72,7,2,3,1,7,6
Florida,6.2,8.3,0.75,8,2,4,1,8,7
Florida,9.6,13,0.74,8,3,2,2,6,5
Florida,4.2,6,0.7,7,2,3,1,7,7
Florida,8.8,12,0.73,8,1,2,1,7,6
Florida,5.8,9,0.64,8,3,4,3,7,7
Florida,11.1,14.9,0.74,8,4,5,2,7,5
Florida,5.9,7.7,0.77,8,1,3,1,7,5
Florida,11.2,15,0.75,8,3,2,2,8,6
Florida,5.6,7.7,0.73,7,1,2,1,7,0
Florida,10.5,13.9,0.76,8,3,3,1,8,8
Florida,7.2,9.7,0.74,8,3,3,1,8,8
Florida,5.6,7.7,0.73,7,3,2,1,7,6
Florida,5.8,7.7,0.75,8,3,4,1,7,8
Florida,6.2,8.3,0.75,8,3,3,2,8,7
